distance_kms,trip_time_minutes,total_time_minutes,speed_kmh,trip_type_uberblack,trip_type_uberx,surge_multiplier,trip_type_uberelka,trip_start_time_year,weather_partly_cloudy_night,trip_start_time_hour,temperature_time_hour,feels_like,cloudness,temp_hour_interaction,temperature_value,rub_usd_exchange_rate,temperature_time_month,trip_start_time_month,dropoff_long,pickup_long,vehicle_make,vehicle_model,weather_desc,ride_hailing_app_Uber,trip_type_Comfort,trip_type_EconomyFix,trip_type_uberBEAUTY,trip_type_uberBLACK,trip_type_uberELKA,trip_type_uberSELECT,trip_type_uberX,city_Moscow,city_Saint Petersburg,weather_main_clear-night,weather_main_cloudy,weather_main_fog,weather_main_partly-cloudy-day,weather_main_partly-cloudy-night,weather_main_rain,weather_main_snow,weather_main_wind,precipitation_rain,precipitation_snow,trip_start_time_timeofday_evening,trip_start_time_timeofday_morning,trip_start_time_timeofday_night,temperature_time_timeofday_evening,temperature_time_timeofday_morning,temperature_time_timeofday_night
23.26,31.333333333333332,46.0,30.339130434782607,0,0,1.0,0,2015,0,13,13,22.0,0.31,286.0,22.0,55.72,6,6,30.2742717,30.356505,0.02654867256637168,0.4616519174041298,0.1902654867256637,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15.63,46.43333333333333,57.0,12.17922077922078,0,1,1.0,0,2015,0,18,18,14.0,0.79,252.0,14.0,56.7,7,7,30.409926,30.3482794,0.06342182890855458,0.028023598820058997,0.38200589970501475,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
33.97,37.68333333333333,45.0,42.4875,0,1,1.0,0,2015,1,7,7,14.0,0.62,0.0,14.0,57.47,7,7,30.319145,30.40966,0.06932153392330384,0.051622418879056046,0.38200589970501475,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
24.91,42.43333333333333,55.0,27.174545454545456,0,1,1.0,0,2015,1,7,7,16.0,0.83,0.0,16.0,57.23,7,7,30.31906726,30.40919418,0.19616519174041297,0.4616519174041298,0.38200589970501475,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1.79,5.7,12.0,10.875,0,1,1.0,0,2015,0,15,15,17.0,0.47,255.0,17.0,67.5,9,9,30.4078023,30.3888993,0.17404129793510326,0.15339233038348082,0.1902654867256637,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.01,23.666666666666668,57.0,6.852631578947369,0,1,1.0,0,2015,0,13,13,16.0,0.75,208.0,16.0,67.73,9,9,37.635031,37.6350862,0.17404129793510326,0.15339233038348082,0.38200589970501475,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4.76,13.483333333333333,33.0,8.654545454545454,0,1,1.0,0,2015,0,14,14,17.0,0.75,238.0,17.0,67.73,9,9,37.635031,37.6350862,0.19616519174041297,0.4616519174041298,0.38200589970501475,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23.44,30.416666666666668,42.0,33.48571428571429,0,1,1.0,0,2015,0,15,15,18.0,0.0,270.0,18.0,67.65,9,9,37.635031,37.6350862,0.10766961651917405,0.4616519174041298,0.10176991150442478,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16.38,24.583333333333332,25.0,39.312,0,1,1.0,0,2015,0,16,16,17.0,0.75,272.0,17.0,67.65,9,9,37.635031,37.6350862,0.11651917404129794,0.4616519174041298,0.38200589970501475,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4.12,11.45,19.0,13.010526315789475,0,1,1.0,0,2015,0,10,10,12.0,0.75,120.0,12.0,67.75,9,9,37.635031,37.6350862,0.17404129793510326,0.15339233038348082,0.38200589970501475,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
4.12,12.383333333333333,28.0,8.82857142857143,0,1,1.0,0,2015,0,11,11,14.0,0.75,154.0,14.0,67.75,9,9,37.635031,37.6350862,0.07227138643067847,0.048672566371681415,0.38200589970501475,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
5.63,14.883333333333333,24.0,14.075,0,1,1.0,0,2015,0,21,21,7.0,0.0,210.0,10.0,67.75,9,9,37.635031,37.6350862,0.084070796460177,0.4616519174041298,0.10176991150442478,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
6.12,15.616666666666667,31.0,11.84516129032258,0,1,1.0,0,2015,0,12,12,11.0,0.0,132.0,11.0,67.75,9,9,37.635031,37.6350862,0.19616519174041297,0.4616519174041298,0.10176991150442478,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5.65,15.683333333333334,22.0,15.409090909090912,0,1,1.0,0,2015,0,17,17,11.0,0.75,187.0,11.0,67.75,9,9,37.635031,37.6350862,0.11651917404129794,0.4616519174041298,0.014749262536873156,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
5.73,13.866666666666667,18.0,19.1,0,1,1.0,0,2015,0,21,21,7.0,0.84,220.0,10.0,67.75,9,9,37.635031,37.6350862,0.19616519174041297,0.4616519174041298,0.014749262536873156,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
8.56,18.766666666666666,26.0,19.753846153846155,0,1,1.0,0,2015,0,10,10,18.0,0.0,180.0,18.0,67.75,9,9,30.2990589,30.40921086,0.19616519174041297,0.4616519174041298,0.10176991150442478,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
10.06,20.016666666666666,28.0,21.557142857142857,0,1,1.0,0,2015,0,10,10,19.0,0.0,190.0,19.0,67.75,9,9,30.4092183,30.2998336,0.17404129793510326,0.15339233038348082,0.10176991150442478,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
8.03,13.0,35.0,13.765714285714283,0,1,1.0,0,2015,0,13,13,12.0,0.75,156.0,12.0,67.75,9,9,37.635031,37.6350862,0.19616519174041297,0.4616519174041298,0.38200589970501475,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
17.77,29.616666666666667,57.0,6.852631578947369,0,1,1.0,0,2015,0,15,15,14.0,0.0,210.0,14.0,67.75,9,9,37.635031,37.6350862,0.084070796460177,0.4616519174041298,0.10176991150442478,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33.97,32.65,39.0,42.4875,0,1,1.0,0,2015,0,17,17,16.0,0.76,272.0,16.0,67.75,9,9,30.4092106,30.2808294,0.07227138643067847,0.4616519174041298,0.38200589970501475,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
11.65,16.016666666666666,27.0,25.88888888888889,0,1,1.0,0,2015,0,14,14,19.0,0.69,266.0,19.0,67.75,9,9,30.4410833,30.3959366,0.084070796460177,0.4616519174041298,0.38200589970501475,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
